time,qy_1,qy_2,qy_3,qy_4,vpd,co2,temp_1,temp_2,temp_3,temp_4,eppfd_1,eppfd_2,eppfd_3,eppfd_4,eppfdi_1,eppfdi_2,eppfdi_3,eppfdi_4,ppfd_1,ppfd_2,ppfd_3,ppfd_4,ppfdi_1,ppfdi_2,ppfdi_3,ppfdi_4
2025-04-02T06:00:00Z,0.856,0.835,0.841,0.852,0.75,253,20.2,20.5,20.5,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-02T06:15:00Z,0.863,0.849,0.858,0.871,0.74,254,20.2,20.5,20.6,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-02T06:30:00Z,0.866,0.843,0.858,0.877,0.71,254,20,20.4,20.4,20.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-02T06:45:00Z,0.883,0.842,0.847,0.846,0.7,255,19.9,20.3,20.3,20.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-02T07:00:00Z,0.845,0.836,0.84,0.846,0.74,249,20.4,20.7,20.8,20.7,5.58E-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-04-02T07:15:00Z,0.854,0.806,0.813,0.802,0.73,247,20.3,20.6,20.7,20.6,0.6317945,0.1113787,0.1887191,0.3396612,1.741537,0.3748382,0.584013,0.9822416,0.4595576,0.08488933,0.1583606,0.251346,1.317803,0.2922272,0.4889888,0.7565572
2025-04-02T07:30:00Z,0.838,0.783,0.769,0.825,0.73,246,20.3,20.7,20.7,20.6,4.102014,0.8519635,1.413224,2.341121,8.505121,1.760083,2.919073,4.85416,3.214434,0.6848099,1.219126,1.83919,6.705761,1.423169,2.531498,3.823312
2025-04-02T07:45:00Z,0.792,0.778,0.792,0.815,0.78,241,20.9,21.2,21.3,21.2,17.30216,3.592188,5.923815,9.892905,26.20245,5.391958,9.045008,15.04388,13.43953,2.844131,5.074717,7.683568,20.27017,4.260154,7.695803,11.60296
2025-04-02T08:00:00Z,0.842,0.781,0.788,0.856,0.73,241,20.4,20.9,20.8,20.7,24.88754,5.166255,8.551034,14.23841,32.50337,6.789357,11.07762,18.55633,19.60441,4.145337,7.392999,11.20216,25.70692,5.459242,9.630786,14.6454
2025-04-02T08:15:00Z,0.825,0.765,0.785,0.813,0.7,240,20.3,20.8,20.8,20.6,40.01802,8.262479,13.80293,22.90964,46.88267,9.650119,16.27539,26.89651,31.75661,6.686058,11.99063,18.14619,37.40364,7.845951,14.15382,21.40276
2025-04-02T08:30:00Z,0.813,0.788,0.78,0.82,0.78,239,21.3,21.8,21.8,21.7,53.07185,10.97667,18.33116,30.41239,51.70861,10.71683,17.76394,29.63648,42.18561,8.889955,15.93241,24.12844,41.19145,8.704418,15.46545,23.55027
2025-04-02T08:45:00Z,0.833,0.785,0.774,0.829,0.74,237,20.9,21.4,21.3,21.2,43.20679,8.927364,14.88364,24.76079,37.03894,7.617949,12.73968,21.21593,34.50685,7.271628,12.99116,19.73342,29.7207,6.257185,11.14667,16.96249
2025-04-02T09:00:00Z,0.801,0.774,0.778,0.8,0.68,237,20.7,21.2,21.1,21,43.69514,9.007899,15.05117,25.03575,36.08044,7.410958,12.39758,20.74459,34.99512,7.359532,13.15916,19.99065,28.96736,6.079501,10.8415,16.58067
2025-04-02T09:15:00Z,0.737,0.74,0.713,0.8,0.65,232,21.4,22.1,22,22,77.42435,15.97837,26.69991,44.40075,172.4489,35.6293,58.80543,98.56533,61.76135,13.00068,23.25774,35.28634,136.9793,28.85692,51.12737,77.96169
2025-04-02T09:30:00Z,0.713,0.731,0.699,0.783,0.66,232,21.8,22.9,22.8,23,173.34,35.80613,59.80569,99.32743,205.8354,42.01507,71.47128,118.4088,138.1999,29.10522,52.10119,78.97341,164.2074,34.2294,62.16264,94.00594
2025-04-02T09:45:00Z,0.732,0.72,0.672,0.759,0.71,229,22.9,24.1,23.9,24.2,249.7348,51.55201,86.21436,143.0726,297.5664,61.77867,102.6515,170.6073,198.83,41.8398,75.02463,113.5707,236.6443,50.07038,89.34436,135.4667
2025-04-02T10:00:00Z,0.77,0.71,0.668,0.763,0.78,227,23.7,25,24.6,24.9,248.1988,51.37547,85.62842,142.2459,259.7178,54.29771,88.64746,149.2785,197.7121,41.65278,74.53349,112.885,207.52,43.97517,77.17833,118.3358
2025-04-02T10:15:00Z,0.736,0.688,0.664,0.742,0.83,226,23.9,25,24.5,24.9,212.6408,43.99077,73.17113,121.8938,274.4164,56.14211,93.64923,156.7684,169.5882,35.72367,63.77336,96.81152,218.5154,45.61781,81.53337,124.3274
2025-04-02T10:30:00Z,0.736,0.717,0.67,0.779,0.74,222,23.1,24.8,23.7,24,270.6455,55.76956,93.43131,155.1239,177.6011,36.87193,62.27568,101.9645,215.2192,45.26313,81.25919,123.0387,141.1952,29.96319,54.08928,81.12622
2025-04-02T10:45:00Z,0.732,0.688,0.655,0.753,0.69,220,23,24.9,23.9,24,264.0768,54.43781,91.12271,151.3336,266.2163,54.82011,91.7984,152.5699,209.8396,44.15778,79.22052,119.9189,211.1306,44.36485,79.7598,120.8339
2025-04-02T11:00:00Z,0.762,0.7,0.651,0.78,0.65,222,23.1,25,23.9,24.1,260.0793,53.68233,89.71944,148.9045,229.0567,47.15716,79.85157,131.4298,206.3896,43.48251,77.98705,117.9702,182.1651,38.33394,69.28644,104.3289
2025-04-02T11:15:00Z,0.701,0.691,0.649,0.744,0.62,217,23.1,25,23.8,24,263.319,54.31541,90.71347,150.8153,291.1192,60.1749,100.5913,166.8098,209.2352,44.04272,78.88383,119.5596,231.1828,48.75864,87.54726,132.3279
2025-04-02T11:30:00Z,0.699,0.672,0.636,0.766,0.58,217,23.1,25.1,24.2,23.9,286.4258,59.07788,98.69732,163.9918,300.9467,62.2042,103.9408,172.6318,227.6138,47.90634,85.82832,129.973,238.6914,50.34873,90.33047,136.7089
2025-04-02T11:45:00Z,0.748,0.686,0.655,0.784,0.52,216,22.9,25.1,23.9,23.7,295.6459,61.04033,101.7728,169.2975,221.1274,45.75426,76.42767,126.7525,234.7147,49.4458,88.4642,134.1468,175.6996,37.11108,66.37028,100.602
2025-04-02T12:00:00Z,0.71,0.691,0.649,0.735,0.52,218,23.2,25,24,24.1,223.3349,46.20021,76.94852,127.8934,241.2544,49.62638,83.35925,138.0981,177.5036,37.4563,66.92269,101.425,191.8763,40.28862,72.62731,109.47
2025-04-02T12:15:00Z,0.733,0.703,0.648,0.773,0.53,216,23.4,25.1,24.1,24.2,220.8439,45.52009,76.47817,126.5232,191.6257,39.63414,66.06585,109.5605,175.5964,36.93813,66.50331,100.3541,152.3797,32.15074,57.48315,86.93939
2025-04-02T12:30:00Z,0.744,0.697,0.638,0.736,0.49,216,23.2,25.1,24,24.1,241.3198,49.68659,83.17633,138.2921,217.8238,44.74224,75.08851,124.6192,192.0087,40.34107,72.38463,109.7092,173.3258,36.3442,65.24976,98.95196
2025-04-02T12:45:00Z,0.733,0.681,0.64,0.766,0.53,219,23.4,25.3,24.4,24.3,239.1988,49.44283,82.39711,136.9331,192.9052,39.61782,66.74256,110.3019,190.4266,40.14586,71.80134,108.7847,153.7089,32.22744,58.12031,87.81783
