"time","qy_1","qy_2","qy_3","qy_4"
2025-04-02 00:59:56.584,0.883,0.867,0.877,0.86
2025-04-02 01:59:54.694,0.89,0.86,0.869,0.874
2025-04-02 02:59:52.807,0.874,0.855,0.876,0.878
2025-04-02 03:59:50.935,0.868,0.854,0.87,0.86
2025-04-02 05:05:03.533,0.859,0.862,0.864,0.86
2025-04-02 06:00:02.719,0.856,0.835,0.841,0.852
2025-04-02 06:15:01.863,0.863,0.849,0.858,0.871
2025-04-02 06:30:00.973,0.866,0.843,0.858,0.877
2025-04-02 06:45:00.073,0.883,0.842,0.847,0.846
2025-04-02 06:59:59.324,0.845,0.836,0.84,0.846
2025-04-02 07:14:58.371,0.854,0.806,0.813,0.802
2025-04-02 07:29:57.643,0.838,0.783,0.769,0.825
2025-04-02 07:44:57.161,0.792,0.778,0.792,0.815
2025-04-02 07:59:56.369,0.842,0.781,0.788,0.856
2025-04-02 08:14:55.953,0.825,0.765,0.785,0.813
2025-04-02 08:29:55.09,0.813,0.788,0.78,0.82
2025-04-02 08:44:54.035,0.833,0.785,0.774,0.829
2025-04-02 08:59:53.246,0.801,0.774,0.778,0.8
2025-04-02 09:14:52.406,0.737,0.74,0.713,0.8
2025-04-02 09:29:51.589,0.713,0.731,0.699,0.783
2025-04-02 09:44:50.745,0.732,0.72,0.672,0.759
2025-04-02 09:59:49.855,0.77,0.71,0.668,0.763
2025-04-02 10:14:49.183,0.736,0.688,0.664,0.742
2025-04-02 10:29:48.389,0.736,0.717,0.67,0.779
2025-04-02 10:44:47.395,0.732,0.688,0.655,0.753
2025-04-02 10:59:46.523,0.762,0.7,0.651,0.78
2025-04-02 11:14:45.632,0.701,0.691,0.649,0.744
2025-04-02 11:29:44.831,0.699,0.672,0.636,0.766
2025-04-02 11:44:43.967,0.748,0.686,0.655,0.784
2025-04-02 11:59:43.512,0.71,0.691,0.649,0.735
2025-04-02 12:14:43.125,0.733,0.703,0.648,0.773
2025-04-02 12:29:42.754,0.744,0.697,0.638,0.736
2025-04-02 12:44:42.332,0.733,0.681,0.64,0.766
2025-04-02 12:59:41.82,0.727,0.667,0.613,0.771
2025-04-02 13:14:41.041,0.728,0.66,0.586,0.766
2025-04-02 13:29:40.191,0.718,0.647,0.603,0.726
2025-04-02 13:44:39.385,0.675,0.638,0.591,0.714
2025-04-02 13:59:38.37,0.537,0.606,0.546,0.585
2025-04-02 14:14:37.649,0.708,0.595,0.533,0.657
2025-04-02 14:29:36.823,0.5,0.605,0.549,0.667
2025-04-02 14:44:35.895,0.629,0.613,0.553,0.655
2025-04-02 14:59:34.926,0.684,0.615,0.543,0.674
2025-04-02 15:14:34.165,0.681,0.628,0.575,0.703
2025-04-02 15:29:33.743,0.677,0.615,0.547,0.739
2025-04-02 15:44:32.877,0.631,0.633,0.56,0.701
2025-04-02 15:59:32.16,0.689,0.64,0.534,0.703
2025-04-02 16:14:31.217,0.591,0.634,0.528,0.717
2025-04-02 16:29:30.214,0.663,0.636,0.538,0.695
2025-04-02 16:44:29.28,0.488,0.619,0.482,0.692
2025-04-02 16:59:28.39,0.625,0.621,0.495,0.673
2025-04-02 17:14:27.466,0.746,0.639,0.574,0.72
2025-04-02 17:29:26.483,0.704,0.662,0.571,0.756
2025-04-02 17:44:25.518,0.733,0.668,0.612,0.806
2025-04-02 17:59:24.775,0.714,0.633,0.521,0.776
2025-04-02 18:14:23.834,0.731,0.66,0.523,0.761
2025-04-02 18:29:22.92,0.758,0.683,0.564,0.785
2025-04-02 18:44:21.984,0.8,0.697,0.611,0.787
2025-04-02 18:59:21.134,0.793,0.679,0.61,0.787
2025-04-02 19:14:20.228,0.8,0.707,0.636,0.792
2025-04-02 19:29:19.302,0.799,0.73,0.689,0.82
2025-04-02 19:44:18.306,0.821,0.785,0.75,0.839
2025-04-02 19:59:17.437,0.839,0.818,0.815,0.833
2025-04-02 20:14:16.52,0.841,0.826,0.848,0.864
2025-04-02 20:29:15.542,0.871,0.841,0.854,0.868
2025-04-02 21:00:02.809,0.835,0.832,0.856,0.873
