"time","temp","vpd","co2","eppfd_1","eppfd_2","eppfd_3","eppfd_4","eppfdi_1","eppfdi_2","eppfdi_3","eppfdi_4","ppfd_1","ppfd_2","ppfd_3","ppfd_4","ppfdi_1","ppfdi_2","ppfdi_3","ppfdi_4","eppfd_g","eppfdi_g"
2025-04-23,20.39,-0.064,518.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007119999,0
2025-04-23 00:15:00,20.26,-0.062,519.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02751889,0
2025-04-23 00:30:00,20.14,-0.061,519.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04229667,0
2025-04-23 00:45:00,20.08,-0.059,524.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03649444,0
2025-04-23 01:00:00,20.57,-0.042,524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02570667,0
2025-04-23 01:15:00,20.76,-0.049,526.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01611333,0
2025-04-23 01:30:00,20.44,-0.062,522.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03846667,0
2025-04-23 01:45:00,20.28,-0.061,525.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02185667,0
2025-04-23 02:00:00,20.16,-0.06,526.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03422,0
2025-04-23 02:15:00,20.07,-0.059,523.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01486667,0
2025-04-23 02:30:00,20.61,-0.046,527.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01336667,0
2025-04-23 02:45:00,20.34,-0.06,530.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01498667,0
2025-04-23 03:00:00,20.15,-0.061,530.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02523,0
2025-04-23 03:15:00,20.06,-0.058,530.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02010667,0
2025-04-23 03:30:00,20,-0.058,532.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01861333,0
2025-04-23 03:45:00,19.92,-0.058,536.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02035667,0
2025-04-23 04:00:00,19.98,-0.052,534.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03709333,0
2025-04-23 04:15:00,20.53,-0.047,538.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01399,0
2025-04-23 04:30:00,20.16,-0.062,538.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03197333,0
2025-04-23 04:45:00,20.09,-0.055,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03584333,0
2025-04-23 05:00:00,20.35,-0.045,543.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02260666,0
2025-04-23 05:15:00,19.8,-0.035,542.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01511333,0
2025-04-23 05:30:00,20.35,-0.02,544.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004246667,0
2025-04-23 05:45:00,20.47,0.019,553.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03372667,0
2025-04-23 06:00:00,19.88,0.006,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02286,0
2025-04-23 06:15:00,20.25,0.009,559.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02048333,0
2025-04-23 06:30:00,19.78,0.003,556.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02697667,0
2025-04-23 06:45:00,20.16,0.002,556.7,0.1758977,0.1974561,0.1756419,0.1734285,0.6414867,0.7041287,0.6560389,0.657693,0.1116969,0.1428172,0.1283857,0.09514756,0.464368,0.5278735,0.5129212,0.4381402,0.194385,0.6333
2025-04-23 07:00:00,19.93,-0.007,557.5,1.658928,1.829651,1.692726,1.70299,3.393938,3.725184,3.459296,3.499969,1.271966,1.405706,1.349712,1.254362,2.632491,2.866869,2.759399,2.621601,1.823814,3.8488
2025-04-23 07:15:00,20.62,-0.01,559.5,8.305284,9.14473,8.474816,8.569379,15.18929,16.7918,15.52722,15.65651,6.398504,6.962147,6.731989,6.447439,11.69161,12.75696,12.30985,11.79614,9.397366,16.3172
2025-04-23 07:30:00,20.57,-0.001,563.3,19.98914,22.09975,20.3942,20.51332,24.88224,27.57477,25.52681,25.54108,15.48148,16.89289,16.26742,15.6056,19.34331,21.20543,20.40401,19.53165,20.95103,26.6607
2025-04-23 07:45:00,20.72,-0.005,568.3,42.60435,47.26184,43.57315,43.80101,66.03747,74.60825,68.05183,67.4222,33.30312,36.48204,34.98164,33.67224,51.55941,57.67996,54.72017,51.84944,46.99122,72.1196
2025-04-23 08:00:00,22.45,0.095,562.4,106.2454,122.3139,107.3798,105.7679,148.2201,173.9794,154.9293,150.5414,81.62762,93.74488,86.33057,80.46803,111.4984,133.0731,129.3624,113.0805,104.149,126.5316
2025-04-23 08:15:00,22.88,0.282,554.7,155.9417,210.4453,173.6915,156.546,166.8173,281.7547,167.5308,163.0316,119.8005,160.3358,135.5482,115.6041,130.4753,214.0035,140.0302,119.1299,134.2332,149.4147
2025-04-23 08:30:00,21.67,0.295,544.5,188.3778,233.6504,195.9616,189.163,192.5423,227.6303,200.7701,196.1295,146.5948,180.8792,157.7536,145.1567,150.5849,176.3198,161.7467,150.8885,182.018,194.3452
2025-04-23 08:45:00,21.16,0.23,531,210.3931,267.2472,231.9822,258.0495,199.7701,287.7446,203.9729,257.9999,166.9774,208.5185,189.9038,194.3336,164.8126,211.7398,164.2151,195.5276,226.5997,211.6668
2025-04-23 09:00:00,21.07,0.165,530,227.4984,294.5092,207.1616,269.7564,212.8205,266.9998,189.2788,239.8209,195.9928,228.6624,166.314,200.4586,177.7655,214.6318,144.4408,177.7295,207.0042,139.4947
2025-04-23 09:15:00,21,0.093,526.1,202.6087,234.8665,195.0261,200.8934,359.4346,266.8929,384.2587,406.6719,160.2807,189.4249,156.5272,149.2051,291.1316,201.9432,316.6293,299.8808,215.3119,524.1152
2025-04-23 09:30:00,21.79,0.108,516.1,448.8502,346.0464,325.8396,438.7082,521.8091,392.0525,541.0658,599.3929,329.1561,277.4516,296.2136,301.5309,391.2814,291.0615,394.9641,347.5736,366.8034,213.001
